name,latitude,longitude,type,color
ADO Den Haag,52.06277,4.38305,Eredivisie,ff0000
Ajax,52.3143,4.9418,Eredivisie,ff0000
AZ,52.61277,4.74201,Eredivisie,ff0000
FC Emmen,52.774732,6.945808,Eredivisie,ff0000
Excelsior,51.91707,4.52057,Eredivisie,ff0000
Feyenoord,51.89385,4.52324,Eredivisie,ff0000
Fortuna Sittard,50.992051,5.843638,Eredivisie,ff0000
De Graafschap,51.9557,6.30984,Eredivisie,ff0000
FC Groningen,53.20617,6.59144,Eredivisie,ff0000
sc Heerenveen,52.95864,5.93614,Eredivisie,ff0000
Heracles Almelo,52.33883,6.65064,Eredivisie,ff0000
NAC Breda,51.5948,4.750353,Eredivisie,ff0000
PEC Zwolle,52.51718,6.12085,Eredivisie,ff0000
PSV,51.4417,5.4674,Eredivisie,ff0000
FC Utrecht,52.07837,5.14579,Eredivisie,ff0000
Vitesse,51.96282,5.8929,Eredivisie,ff0000
VVV-Venlo,51.351963,6.179816,Eredivisie,ff0000
Willem II,51.54263,5.06681,Eredivisie,ff0000
Almere City,52.394349,5.240489,Eerste divisie,007f00
SC Cambuur,53.20552,5.81461,Eerste divisie,007f00
FC Den Bosch,51.701647,5.329717,Eerste divisie,007f00
FC Dordrecht,51.802369,4.689875,Eerste divisie,007f00
FC Eindhoven,51.411774,5.47934,Eerste divisie,007f00
Go Ahead Eagles,52.260401,6.172653,Eerste divisie,007f00
Helmond Sport,51.486195,5.680085,Eerste divisie,007f00
MVV Maastricht,50.857495,5.717886,Eerste divisie,007f00
NEC,51.82242,5.83721,Eerste divisie,007f00
RKC Waalwijk,51.686604,5.089015,Eerste divisie,007f00
Roda JC,50.85698,6.00595,Eerste divisie,007f00
Sparta Rotterdam,51.919446,4.433538,Eerste divisie,007f00
Telstar,52.455161,4.634924,Eerste divisie,007f00
Top Oss,51.755082,5.528135,Eerste divisie,007f00
FC Twente,52.2365,6.83787,Eerste divisie,007f00
FC Volendam,52.494431,5.066271,Eerste divisie,007f00
AFC,52.33698,4.879429,Tweede divisie,0000ff
BVV Barendrecht,51.860987,4.543106,Tweede divisie,0000ff
Excelsior Maassluis,51.927324,4.258327,Tweede divisie,0000ff
GVVV,52.029287,5.538945,Tweede divisie,0000ff
HHC Hardenberg,52.568184,6.587679,Tweede divisie,0000ff
VV IJsselmeervogels ,52.257003,5.377486,Tweede divisie,0000ff
VV Katwijk,52.210699,4.430788,Tweede divisie,0000ff
Koninklijke HFC,52.363844,4.623696,Tweede divisie,0000ff
Kozakken Boys,51.808988,4.909387,Tweede divisie,0000ff
FC Lienden,51.949684,5.51344,Tweede divisie,0000ff
Rijnsburgse Boys,52.201954,4.442966,Tweede divisie,0000ff
SVV Scheveningen,52.085466,4.26889,Tweede divisie,0000ff
SV Spakenburg,52.256019,5.379154,Tweede divisie,0000ff
De Treffers,51.768747,5.943146,Tweede divisie,0000ff
VVSB,52.268672,4.497996,Tweede divisie,0000ff
